City,State,Neighborhood,lat,lng
Brooklyn,NY,Carroll Gardens,40.6795331,-73.9991637
Brooklyn,NY,City Line,40.69277779999999,-73.99027779999999
Brooklyn,NY,Clinton Hill,40.68936650000001,-73.9639021
Brooklyn,NY,Cobble Hill,40.686536,-73.9962255
Brooklyn,NY,Columbia Street Waterfront District,40.6873691,-74.00210190000001
Brooklyn,NY,Coney Island,40.5749261,-73.98594140000002
Brooklyn,NY,Crown Heights,40.6681032,-73.94479940000002
Brooklyn,NY,Cypress Hills,40.683611799999994,-73.8801301
Brooklyn,NY,DUMBO,40.703055600000006,-73.9894444
Brooklyn,NY,Ditmas Park,40.6409217,-73.96243270000002
Brooklyn,NY,Downtown Brooklyn,40.6960191,-73.98451800000002
Brooklyn,NY,Dyker Heights,40.6187181,-74.01532309999997
Brooklyn,NY,East Flatbush,40.643747399999995,-73.9301037
Brooklyn,NY,East New York,40.656831200000006,-73.88307009999998
Brooklyn,NY,East Williamsburg,40.715876200000004,-73.93304289999998
Brooklyn,NY,Flatbush,40.6409217,-73.96243270000002
Brooklyn,NY,Flatlands,40.6268432,-73.93304289999998
Brooklyn,NY,Fort Greene,40.6920638,-73.97418739999998
Brooklyn,NY,Fort Hamilton,40.60611110000001,-74.0308333
Brooklyn,NY,Georgetown,40.6215792,-73.9130382
Brooklyn,NY,Gerritson Beach,40.5870033,-73.9227554
Brooklyn,NY,Gowanus,40.6733364,-73.9903489
Brooklyn,NY,Gravesend,40.5910166,-73.977126
Brooklyn,NY,Greenpoint,40.7245448,-73.9418603
Brooklyn,NY,Highland Park,40.6883698,-73.88747990000002
Brooklyn,NY,Kensington,40.6376415,-73.97418739999998
Brooklyn,NY,Manhattan Beach,40.57815799999999,-73.93892129999998
Brooklyn,NY,Marine Park,40.611991100000004,-73.93304289999998
Brooklyn,NY,Midwood,40.619062899999996,-73.96537150000002
Brooklyn,NY,Mill Basin,40.610089200000004,-73.91099770000002
Brooklyn,NY,Mill Island,40.725947999999995,-74.06118300000001
Brooklyn,NY,New Lots,40.6646851,-73.88634640000002
Brooklyn,NY,Ocean Hill,40.5834152,-73.96721769999998
Brooklyn,NY,Ocean Parkway,40.5834152,-73.96721769999998
Brooklyn,NY,Paedergat Basin,40.62725349999999,-73.9076906
Brooklyn,NY,Park Slope,40.6681038,-73.9805817
Brooklyn,NY,Prospect Heights,40.6774196,-73.9668408
Brooklyn,NY,Prospect Lefferts Gardens,40.6590448,-73.9506774
Brooklyn,NY,Prospect Park South,40.645774100000004,-73.96610609999998
Brooklyn,NY,Red Hook,40.67728020000001,-74.00944709999997
Brooklyn,NY,Remsen Village,40.65879210000001,-73.9268786
Brooklyn,NY,Sea Gate,40.5768098,-74.0079781
Brooklyn,NY,Sheepshead Bay,40.5975847,-73.9536163
Brooklyn,NY,South Slope,40.6609675,-73.9903489
Brooklyn,NY,South Williamsburg,40.708617,-73.969864
Brooklyn,NY,Spring Creek,40.65649260000001,-73.86207990000003
Brooklyn,NY,Starret City,40.64954829999999,-73.8801454
Brooklyn,NY,Sunset Park,40.645532,-74.01238509999997
Brooklyn,NY,Vinegar Hill,40.70255299999999,-73.981086
Brooklyn,NY,Weeksville,40.6740091,-73.92537990000002
Brooklyn,NY,Williamsburg - North Side,40.716187,-73.95850399999998
Brooklyn,NY,Williamsburg - South Side,40.709091,-73.96430649999998
Brooklyn,NY,Windsor Terrace,40.6539346,-73.9756567
Brooklyn,NY,Wingate,40.6585943,-73.9442483
Manhattan,NY,Alphabet City,40.72606010000001,-73.9785952
Manhattan,NY,Battery Park,40.7031649,-74.0169901
Manhattan,NY,Chelsea,40.749771700000004,-73.9976946
Manhattan,NY,Chinatown,40.715750899999996,-73.9970307
Manhattan,NY,Civic Center,40.714051899999994,-74.00283639999998
Manhattan,NY,East Harlem,40.7957399,-73.93892129999998
Manhattan,NY,East Village,40.7264773,-73.98153370000001
Manhattan,NY,Financial District,40.707499,-74.01115300000002
Manhattan,NY,Flatiron,40.741060499999996,-73.9896986
Manhattan,NY,Gramercy,40.737688500000004,-73.98193619999998
Manhattan,NY,Greenwich Village,40.735781,-74.0035709
Manhattan,NY,Harlem,40.811550399999994,-73.94647690000002
Manhattan,NY,Hell's Kitchen,40.763758100000004,-73.9918181
Manhattan,NY,Inwood,40.867216,-73.92128579999998
Manhattan,NY,Kips Bay,40.74232920000001,-73.9800645
Manhattan,NY,Koreatown,40.747738500000004,-73.98689379999998
Manhattan,NY,Little Italy,40.7191413,-73.9973273
Manhattan,NY,Lower East Side,40.715033,-73.98427240000002
Manhattan,NY,Manhattan Valley,40.8005362,-73.9615762
Manhattan,NY,Marble Hill,40.8761173,-73.9102628
Manhattan,NY,Meatpacking District,40.7409865,-74.0076108
Manhattan,NY,Midtown East,40.7540369,-73.9668408
Manhattan,NY,Midtown West,40.763758100000004,-73.9918181
Manhattan,NY,Morningside Heights,40.8089564,-73.96243270000002
Manhattan,NY,Murray Hill,40.7478792,-73.9756567
Manhattan,NY,NoHo,40.728658700000004,-73.9925526
Manhattan,NY,Nolita,40.722897100000004,-73.99549090000002
Manhattan,NY,Roosevelt Island,40.7621612,-73.94996440000001
Manhattan,NY,SoHo,40.723384,-74.001704
Manhattan,NY,South Street Seaport,40.70726079999999,-74.0035467
Manhattan,NY,South Village,40.7127837,-74.00594129999998
Manhattan,NY,Stuyvesant Town,40.733055900000004,-73.9756567
Manhattan,NY,Theater District,40.759011,-73.98447220000001
Manhattan,NY,TriBeCa,40.7166005,-74.0111162
Manhattan,NY,Two Bridges,40.7107469,-73.99696
Manhattan,NY,Union Square,40.7358633,-73.9910835
Manhattan,NY,Upper East Side,40.7735649,-73.9565551
Manhattan,NY,Upper West Side,40.7870106,-73.9753676
Manhattan,NY,Washington Heights,40.8401451,-73.93892129999998
Manhattan,NY,West Village,40.735781,-74.0035709
Manhattan,NY,Yorkville,40.7762231,-73.94920789999998
